Unnamed: 0,Xlig1_aver,B1,B2,TYPE,NH3_ligand,DG,index,DG-class,Unnamed: 8,KMeans_Cluster,DBSCAN_Cluster,Agglo_Cluster,Y=0.5*X+0.5*0.5*(B1+B2),variances,,,,,
PH2C6F5-Et-SiMe3,1.864473684,2.3,2.257692308,0,2,18.4,170,4,,,,,2.071659919,0.01838308,,,,,
NH2Ph-H-tBu,2.342971888,2.2,2.307692308,0,1,-0.9,171,1,,,,,2.298409021,0.018256693,,,,,
PH2C6F5-H-Ph,1.864473684,2.2,2.390909091,0,2,18.2,172,4,,,,,2.079964115,0.018126319,,,,,
none-C6F5-C6F5,0,3.2,3.2,0,0,-13.5,173,1,,,,,1.6,0.01810211,,,,,
none-Ph-SiMe3,0,2.390909091,2.257692308,0,0,-16.6,174,1,,,,,1.16215035,0.018091523,,,,,
PH2C6F5-tBu-PMe2,1.864473684,2.307692308,2.276666667,0,2,16.5,175,4,,,,,2.078326586,0.018075722,,,,,
none-C6F5-PMe2,0,3.2,2.276666667,1,0,12.1,176,4,,,,,1.369166667,0.018062466,,,,,
PH2F-C6F5-CN,1.784009547,3.2,2.795,0,2,33.8,177,4,,,,,2.390754774,0.017985194,,,,,
PH2F-CN-Me,1.784009547,2.795,2.2875,0,2,28.1,178,4,,,,,2.162629774,0.017967195,,,,,
NH2Ph-C6F5-Cl,2.342971888,3.2,3.16,0,1,12.5,179,4,,,,,2.761485944,0.017869174,,,,,
none-OMe-CF3,0,2.518,3.6225,0,0,-3.8,180,1,,,,,1.535125,0.017756118,,,,,
NH2Ph-C6F5-Me,2.342971888,3.2,2.2875,0,1,11.1,181,4,,,,,2.543360944,0.01759822,,,,,
none-SiMe3-CF3,0,2.257692308,3.6225,0,0,-22.1,182,1,,,,,1.470048077,0.01756443,,,,,
none-Cl-CF3,0,3.16,3.6225,1,0,3.5,183,2,,,,,1.695625,0.017544151,,,,,
PH2F-tBu-PMe2,1.784009547,2.307692308,2.276666667,0,2,11.9,184,4,,,,,2.038094517,0.017541902,,,,,
PH2Ph-CN-CF3,1.96746988,2.795,3.6225,0,1,12.2,185,4,,,,,2.58810994,0.017495713,,,,,
NH2Ph-CN-PMe2,2.342971888,2.795,2.276666667,0,1,13.9,186,4,,,,,2.439402611,0.01747973,,,,,
PH2F-C6F5-OMe,1.784009547,3.2,2.518,0,2,28.3,187,4,,,,,2.321504774,0.017363447,,,,,
none-C6F5-Et,0,3.2,2.3,0,0,-13.8,188,1,,,,,1.375,0.017359594,,,,,
none-Br-Ph,0,2.96,2.390909091,0,0,-9.8,189,1,,,,,1.337727273,0.017211166,,,,,
PH2F-C6F5-Et,1.784009547,3.2,2.3,0,2,28.3,190,4,,,,,2.267004774,0.01719682,,,,,
none-Cl-Et,0,3.16,2.3,0,0,-8.4,191,1,,,,,1.365,0.017160969,,,,,
CAAC-Br-OMe,2.157687651,2.96,2.518,0,3,39.21,192,4,,,,,2.448343826,0.017147352,,,,,
NH2Ph-Br-Br,2.342971888,2.96,2.96,0,1,5.9,193,3,,,,,2.651485944,0.017133951,,,,,
PH2F-H-Et,1.784009547,2.2,2.3,0,2,11.9,194,4,,,,,2.017004774,0.017124415,,,,,
none-CF3-CF3,0,3.6225,3.6225,1,0,-6,195,1,,,,,1.81125,0.017109438,,,,,
NH2F-Cl-NMe2,2.088305489,3.16,2.371111111,0,1,69.9,196,4,,,,,2.426930522,0.017055163,,,,,
PH2F-C6F5-Me,1.784009547,3.2,2.2875,0,2,28.3,197,4,,,,,2.263879774,0.017038633,,,,,
CAAC-CN-tBu,2.157687651,2.795,2.307692308,0,3,32.6,198,4,,,,,2.354516903,0.017035845,,,,,
none-PMe2-CF3,0,2.276666667,3.6225,0,0,-16.1,199,1,,,,,1.474791667,0.01702441,,,,,
NH2Ph-Br-C6F5,2.342971888,2.96,3.2,0,1,13.6,200,4,,,,,2.711485944,0.016958154,,,,,
PH2F-Me-Et,1.784009547,2.2875,2.3,0,2,11.5,201,4,,,,,2.038879774,0.016940328,,,,,
PH2C6F5-tBu-SiMe3,1.864473684,2.307692308,2.257692308,0,2,19.7,202,4,,,,,2.073582996,0.01687813,,,,,
NH2C6F5-Et-PMe2,2.2,2.3,2.276666667,0,1,3.1,203,2,,,,,2.244166667,0.016704809,,,,,
none-C6F5-Me,0,3.2,2.2875,0,0,-13.6,204,1,,,,,1.371875,0.016670662,,,,,
NH2Ph-Et-Br,2.342971888,2.3,2.96,0,1,2.1,205,2,,,,,2.486485944,0.016603426,,,,,
PH2F-CF3-OMe,1.784009547,3.6225,2.518,0,2,25.6,206,4,,,,,2.427129774,0.016429344,,,,,
PH2Ph-C6F5-Me,1.96746988,3.2,2.2875,0,2,20.3,207,4,,,,,2.35560994,0.016253733,,,,,
CAAC-PMe2-NMe2,2.157687651,2.276666667,2.371111111,0,3,41.34,208,4,,,,,2.24078827,0.016132639,,,,,
PH2F-Cl-OMe,1.784009547,3.16,2.518,0,2,25.8,209,4,,,,,2.311504774,0.016119448,,,,,
NH2Ph-F-C6F5,2.342971888,3.98,3.2,0,1,6.4,210,3,,,,,2.966485944,0.016111945,,,,,
PH2F-F-tBu,1.784009547,3.98,2.307692308,0,2,9.5,211,3,,,,,2.463927851,0.016055276,,,,,
PH2C6F5-tBu-Br,1.864473684,2.307692308,2.96,0,2,14,212,4,,,,,2.249159919,0.016053755,,,,,
PH2F-F-Me,1.784009547,3.98,2.2875,0,2,10.6,213,4,,,,,2.458879774,0.015983732,,,,,
NH2C6F5-F-OMe,2.2,3.98,2.518,0,1,-12.8,214,1,,,,,2.7245,0.015969079,,,,,
NH2Ph-H-Br,2.342971888,2.2,2.96,0,1,1.6,215,2,,,,,2.461485944,0.015788244,,,,,
none-F-F,0,3.98,3.98,0,0,-0.3,216,1,,,,,1.99,0.015784225,,,,,
NH2C6F5-Cl-PMe2,2.2,3.16,2.276666667,0,1,6,217,3,,,,,2.459166667,0.015741203,,,,,
none-Ph-SiMe3,0,2.390909091,2.257692308,1,0,4.6,218,2,,,,,1.16215035,0.015671223,,,,,
none-Br-Et,0,2.96,2.3,0,0,-9.1,219,1,,,,,1.315,0.015639789,,,,,
none-PMe2-Me,0,2.276666667,2.2875,1,0,4.4,220,2,,,,,1.141041667,0.015490396,,,,,
CAAC-CF3-SiMe3,2.157687651,3.6225,2.257692308,0,3,29.2,221,4,,,,,2.548891903,0.015486403,,,,,
none-OMe-CF3,0,2.518,3.6225,1,0,8.2,222,3,,,,,1.535125,0.015444933,,,,,
